state,total,democrat,ev,republican
Alabama,275744,238196,11,35358
Arizona,124163,86722,3,33433
Arkansas,179431,146765,9,32049
California,2638882,1766836,22,836431
Colorado,488685,295021,6,181267
Connecticut,690723,382129,8,278685
Delaware,127603,69702,3,54014
Florida,327436,249117,7,78248
Georgia,293170,255363,12,36943
Idaho,199617,125683,4,66256
Illinois,3956522,2282999,29,1570393
Indiana,1650897,934974,14,691570
Iowa,1142737,621756,11,487977
Kansas,865507,464520,9,397727
Kentucky,926214,541944,11,369702
Louisiana,329778,292894,10,36791
Maine,304240,126333,5,168823
Maryland,624896,389612,8,231435
Massachusetts,1840357,942716,17,768613
Michigan,1805098,1016794,19,699733
Minnesota,1129975,698811,11,350461
Mississippi,162142,157333,9,4467
Missouri,1828635,1111043,15,697891
Montana,230502,159690,4,63598
Nebraska,608023,347445,7,247731
Nevada,43848,31925,3,11923
New Hampshire,218114,108460,4,104642
New Jersey,1820437,1083850,16,720322
New Mexico,169135,106037,3,61727
New York,5596398,3293222,47,2180670
North Carolina,839475,616141,13,223294
North Dakota,273716,163148,4,72751
Ohio,3012660,1747140,26,1127855
Oklahoma,749740,501069,11,245122
Oregon,414021,266733,5,122706
Pennsylvania,4138105,2353788,36,1690300
Rhode Island,310278,164338,4,125031
South Carolina,115437,113791,8,1646
South Dakota,296452,160137,4,125977
Tennessee,475533,327083,11,146516
Texas,843482,734485,23,103874
Utah,216679,150248,4,64555
Vermont,143689,62124,3,81023
Virginia,334590,234980,11,98336
Washington,692338,459579,8,206892
West Virginia,829945,502582,8,325358
Wisconsin,1258560,802984,12,380828
Wyoming,103382,62624,3,38739